id,name,html_url,forks,stars,size,language,watchers,pull_requests,contributors,commits
8984148,pacman,https://github.com/A-limon/pacman,200,435,3284,JavaScript,34,6,8,48
798932,pacman,https://github.com/daleharvey/pacman,218,388,421,JavaScript,20,4,2,8
6872396,Pacman,https://github.com/zagayevskiy/Pacman,29,56,19429,C++,12,0,-1,99
3720650,pacman,https://github.com/jesseadams/pacman,39,11,216,Ruby,9,2,6,27
679560,google_pacman,https://github.com/macek/google_pacman,211,412,491,JavaScript,19,0,-1,35
1516476,PacMan,https://github.com/thiagotnunes/PacMan,8,11,6903,Java,4,0,1,63
2873243,pacman,https://github.com/pranavmodi/pacman,11,5,291,Python,1,0,-1,7
2155750,PacMan,https://github.com/Reinual/PacMan,10,19,1475,Objective-C,5,0,-1,7
28704310,Pacman,https://github.com/vilbeyli/Pacman,10,16,98810,C#,3,0,1,41
48824336,pacman,https://github.com/mumuy/pacman,10,14,58,JavaScript,0,0,-1,65
1530109,pacman,https://github.com/tjgillies/pacman,11,32,1629,JavaScript,1,0,-1,3
2166049,pacman,https://github.com/mjg123/pacman,3,37,612,Clojure,1,0,1,5
3472543,pacman,https://github.com/gregorynicholas/pacman,6,12,223,Python,1,0,-1,17
14144680,pacman,https://github.com/elixir-conspiracy/pacman,6,6,144,Elixir,1,1,-1,11
49948555,pacman,https://github.com/mipt-cs-on-python3/pacman,33,0,265,Python,5,1,-1,5
79476,pacman,https://github.com/schuay/pacman,7,9,2704,C++,2,0,-1,38
4722831,pacman,https://github.com/tonyrog/pacman,7,5,13,Erlang,2,0,-1,3
901543,pacman,https://github.com/lrytz/pacman,2,21,4436,Scala,2,0,-1,105
39572114,pacman,https://github.com/DevAmil/pacman,8,0,255,,6,3,-1,8
4485632,pacman,https://github.com/trinker/pacman,2,39,1844,HTML,6,0,-1,386
7604118,pacman,https://github.com/MarquisdeGeek/pacman,6,2,117,C,0,0,-1,3
11434382,pacman-python,https://github.com/greyblue9/pacman-python,34,28,810,Python,8,0,1,18
5121515,pacman-canvas,https://github.com/platzhersh/pacman-canvas,35,40,11915,JavaScript,8,0,-1,199
6567439,pacman,https://github.com/webdestroya/pacman,4,3,14256,Java,1,0,-1,608
6813313,PacMan,https://github.com/shrike1978/PacMan,2,5,245,,2,0,-1,94
16246653,Pacman,https://github.com/TroyShaw/Pacman,2,7,338,C,5,0,-1,25
29293637,pacman,https://github.com/luciopanepinto/pacman,3,9,711,JavaScript,2,1,-1,29
4540738,Pacman,https://github.com/ruilov/Pacman,3,6,119,,2,0,-1,3
1835581,pacman,https://github.com/andrewsmedina/pacman,2,7,96,JavaScript,1,0,-1,23
2086757,pacman,https://github.com/harto/pacman,4,9,2893,JavaScript,2,0,-1,217
26483695,pacman,https://github.com/snozza/pacman,4,3,7285,JavaScript,4,0,-1,59
455895,packer,https://github.com/keenerd/packer,60,246,501,Shell,16,27,6,245
21773953,Towerman,https://github.com/Ceth2001/Towerman,12,0,148,JavaScript,1,2,-1,2
2355205,google-pacman,https://github.com/iidukat/google-pacman,16,6,887,Java,2,0,-1,89
13921764,MSYS2-pacman,https://github.com/Alexpux/MSYS2-pacman,14,73,20938,C,13,1,151,-1
27770166,pacman-projects,https://github.com/monchote/pacman-projects,17,11,372,Python,2,0,-1,6
5101447,PacMan,https://github.com/pac1979/PacMan,1,30,2831,Clojure,3,0,-1,27
17317638,PacMan,https://github.com/zhudhjen/PacMan,3,0,602,C,3,0,-1,71
34632455,Pacman,https://github.com/ZadorozhnaOlga/Pacman,2,0,20820,C#,1,4,-1,12
17609045,pacman,https://github.com/visma/pacman,3,4,10676,Java,2,0,-1,27
7849046,Pacman,https://github.com/kean/Pacman,1,20,5433,Objective-C,4,0,-1,88
2592776,Pacman,https://github.com/Hasselmannen/Pacman,2,5,552,PHP,3,0,-1,37
